"","thyroid","testis","ovary","leukocyte","skeletal muscle","prostate","lymph node","lung","adipose","adrenal","brain","breast","colon","kidney","heart","liver"
"ENSG00000011405.11",34.1164515316812,19.2983725371131,19.3420295845761,9.82697274874073,4.22014161207804,15.8528887579097,11.6179628489469,19.5833520606526,18.817250307269,21.7584398711293,29.2240847376782,16.0471837231116,17.6663516199542,28.2904385499061,19.6300358344548,11.9744860001817
"ENSG00000049449.6",56.392412238981,81.9685069021095,118.70955277168,9.9447582969717,17.8057851046403,89.7541725736204,64.0854873653187,68.6517875054335,60.4017108155627,63.3404195263805,52.9544797975848,44.109468630044,81.2102737937165,50.8427156268901,51.490058258037,51.8441465717507
"ENSG00000064547.11",11.3470771848296,33.9242232050193,12.3136983925607,20.8171589217078,0,7.30182845115991,28.053459629373,9.09804786702364,2.85111448256929,11.425679398135,1.82649086832873,5.64010623862497,4.15935304332339,6.7240567281414,0.634159543386939,1.82694862693679
"ENSG00000078043.13",31.0995126920676,65.0744658452778,13.9958338197389,6.36828735698959,18.2062412381688,8.48958322413644,4.27322348200991,5.13604070443477,19.444917221876,13.7760016224505,19.2385796494581,18.0434370713201,7.05262804099396,10.0338601600258,16.7497965569367,8.48212854059465
"ENSG00000092853.11",0.0528486296819498,6.63058179252529,0.0395108188204314,1.32352193654375,0,0.184789371719949,0.749043761520333,0,0.265537098582815,0.0219228883673741,0.617912140779635,0.26630932673191,0.138753044823781,0.0672674369407963,0.136551896169092,0
"ENSG00000130702.11",66.2940833005768,26.454218438001,33.2206453071859,1.73777575111162,17.7825429330313,65.93881008991,33.4411113453165,62.2103588903827,59.0014149490896,89.77512880323,6.61156060770778,43.5787084976686,66.674219473712,72.2757707065292,19.7397332386243,21.6889902537057
"ENSG00000143554.11",16.691567596413,66.2591854857584,55.4360741914912,57.621040341283,11.0636429992351,65.6424264294169,38.3875720515281,34.3890485003399,58.9491062336886,49.0713185271967,10.5632724639647,54.9821500827021,62.7396553436759,82.2745011565556,18.8107889862712,188.082307093871
"ENSG00000155886.9",0.0113465948990694,0.210329875352201,0.00115341916675492,0,0.161758515981945,0,0,0,0.00471217640185865,0.0159815185679437,83.7812104078142,0.0650724286944692,0.352574403010235,0.164462669771301,0.0113956619347632,0
"ENSG00000163705.10",0,40.3285751501762,0,0,0,0,0,0,0,0.0230493227111811,0.0265331102621397,0,0,0,0.469115911576398,0
"ENSG00000174562.11",3.02191105862672,3.01516424365952,0.0120067643058449,0,0,0.38835241375234,0,0,0,0,0,0,2.60034893853899,0.0589405778308457,0,0
"ENSG00000176198.2",0,0,0,0,0,0,0,0,0,0.130405116949762,0.270810371737049,0,0,0,0,0
"ENSG00000179091.4",166.60346963338,112.15903881537,121.40329370011,55.2808915001924,278.082173995427,146.189727502489,70.0983400210873,88.0243110717266,80.1727378429079,86.0247532558465,147.23202013369,109.395032814497,118.487685891761,285.47653350922,505.419545709322,138.349062954456
"ENSG00000182255.6",0.0773978992559635,0.572557684698745,0.168392448946508,0,0,0.183911375904429,0.438309280782417,0.156479862828828,1.27754467656657,0.519802767625428,3.10884603602547,0.22019813856097,0.262225852754033,0.470391152240947,3.11274983277718,0
"ENSG00000187166.1",0.0559090490640937,181.795815722272,0.971552007228583,0.125696702458528,0.112029406953201,0.150827632462939,0,0,0.0419695427554491,0.74315641188058,0.474724102942576,0.396172732892247,0.144736896712815,0,0,0
"ENSG00000188056.9",0,0,0,1.01051996009683,0,0,0,0.205605922328746,0,0,0,0,0,0.0743783076577098,0,0
"ENSG00000197599.10",0.0634512032070953,3.2376458617993,1.2021828375906,0.484616390056519,0.148766610555286,0.725213948548294,0.93102308689918,0.11234049869165,0.249246426387451,0.555030808744246,0,0.793080620350184,0.334725340072998,1.61600557521721,0.150261073668326,0.642953849079701
"ENSG00000270629.3",10.7512589009175,36.6965031120367,13.4898100538871,14.9790505044233,4.32261245225265,23.4816867617599,10.1127526751053,21.8381454419689,12.6463285833493,20.7755391709773,11.0964532140747,12.8406171633814,13.4805775875927,8.11479251587185,7.40163162927115,21.7743023272848
"ENSG00000271383.4",0.0713815342144711,0.0772158999176068,0.0974005031788057,12.180244840144,0.224384925309467,0.406731346892639,1.33186508612365,0.620447033378524,0.160555404322828,0.137544344865357,0.168429393386696,0.305342396808288,0.180648084103307,1.16521573592175,2.76079245529154,3.8080879135437
"ENSG00000275969.2",0,5.64292212715697,5.49580420096266e-06,0,0,0,0,0,0,0,0.159649042825242,0,0,0,0,0
