"","ChAT_cholinergic_striatal_neurons:1","ChAT_cholinergic_striatal_neurons:2","ChAT_cholinergic_striatal_neurons:3","D1_striatal_neurons:1","D1_striatal_neurons:2","D1_striatal_neurons:3","Colgalt2_pyramidal_cortical_neurons:1","Colgalt2_pyramidal_cortical_neurons:2","Colgalt2_pyramidal_cortical_neurons:3","S100a10_pyramidal_cortical_neurons:1","S100a10_pyramidal_cortical_neurons:2","S100a10_pyramidal_cortical_neurons:3","astrocyte:1","astrocyte:2","neuron:1","neuron:2","oligodendrocyte_precursor:1","oligodendrocyte_precursor:2","newly_formed_oligodendrocyte:1","newly_formed_oligodendrocyte:2","myelinating_oligodendrocyte:1","myelinating_oligodendrocyte:2","microglia:1","microglia:2","endothelial:1","endothelial:2","callosal_projection_neurons:2","subcerebral_projection_neurons:1","corticothalamic_projection_neurons:1"
"ENSMUSG00000005973.6",1.63410236293997,1.70792214439934,1.68760363037459,1.43344472945391,1.29856039125996,1.46731660909991,0.847762033389761,0.813701048080073,0.753083607209645,1.13623464955426,1.01326331460532,1.06162705570451,1.38984514009482,1.59181135366291,1.34997658263579,1.19925441500621,2.11057224365662,2.10917790309161,1.67224413628343,1.70645723217711,0.666772895523874,0.880660006648736,0.953540710923892,0.81168631217928,1.59731691790818,1.51892416324741,0.969890987415455,1.6288774849217,0.920791325652824
"ENSMUSG00000015647.9",-0.557657843739954,-1.45647860392097,0.00701872652337246,-0.855406481921138,-1.14164760089252,-0.723449303261213,-1.44983506838867,0.0264537883048798,-1.65473881600016,-0.454788453175412,-0.0973005080998526,0.274735036828364,0.89808950202733,1.05434216722641,-0.025268385399419,0.143445962301802,-0.768911832270733,-0.703718628802416,-0.639419157883608,-0.442385614318853,0.167415292032578,-0.0920315644960968,-0.309769877274485,0.99486483722781,1.603350348204,1.51061165980659,-0.170662927730739,-0.742292095118904,-0.765163682376999
"ENSMUSG00000022551.7",2.48640972481495,2.43069143089728,2.51189591823969,2.40343444029437,2.3979960076157,2.36699138638794,2.69481330923189,2.58064929661906,2.5330954040532,2.61047033620001,2.57744188223356,2.54895082970413,2.44450652183981,2.3591772847102,2.43487148430894,2.37101273039034,2.40555884504822,2.48954447914965,2.2511362464691,2.37116814782507,2.23560593335008,2.32532039298494,2.19625863550397,2.24767442096543,2.16877885024403,2.19532973490031,2.02747828032305,1.82187103316847,1.95982325581184
"ENSMUSG00000025423.11",1.43056178552664,1.48461895393216,1.47437028606927,1.47155479530921,1.4515440039593,1.45187785163333,1.22524371169437,1.43570201669692,1.44095223717197,1.11331125897923,1.26715055301201,1.24089755852105,1.52938420991796,1.58791629820495,1.53658879737959,1.53063521336102,1.62073657000444,1.47265443631709,1.57487261388602,1.45004314277921,1.4237642920123,1.42636355768137,1.35516044147551,1.11967446647267,1.62464412894192,1.65178368444976,1.38361953347825,1.1637877410063,1.31106168662049
"ENSMUSG00000027932.10",-0.4323023129691,0.62023998678895,-0.462858044359656,-1.33598155472297,-0.354256379893783,-1.20100423792841,-0.134757576372147,-0.152447822999632,-0.127281079673956,-0.265953064715237,-0.502764431980429,-0.295428239557958,0.23656728504663,0.394702789600162,1.3028421226836,1.16878975762056,0.613904097274691,0.909199570369698,0.46550932314628,0.80369437826002,0.586956585433627,0.0524924625662476,0.365448140772079,0.30597891005812,0.379141248376863,0.389045972975127,1.43012537045226,1.37718260844788,1.33723056417359
"ENSMUSG00000030236.8",-1.92330938312054,-1.7465815188837,-1.94933790363024,-1.92169260063503,-1.86430775232949,-1.86608722790214,-1.97130665423719,-2.12162136100994,-2.10549318515383,-2.01633294165974,-2.05123734673752,-2.03314262945613,0.13971878882847,-0.156191520341093,-1.21203536282891,-0.999409785010234,-1.06366003174775,-1.96732166565952,-1.96968142190184,-1.93925009012443,-1.81203938666116,-1.89223593398039,-1.90739200156208,-1.846834169644,1.23158206891695,1.13975493839341,-2.08951153810674,-2.09989044106861,-2.11886396452535
"ENSMUSG00000030660.8",0.469224707359443,0.613137908542944,0.521250779739428,0.780926972195367,0.681586201138649,0.724159260514595,0.373565472021889,0.440556854915384,0.458661905452396,0.26505880221697,0.473539279673955,0.423099336149087,1.31852803557496,1.40328179878259,0.811997225854781,0.987570090054672,1.00748075360246,0.673414003623831,1.46183724505178,1.09769140540608,1.1759373159732,1.20662613959345,0.768777438600938,0.371792648257652,1.63589744617778,1.62930922416947,0.939395309127508,1.09113744742521,1.03950000426127
"ENSMUSG00000031861.11",-0.410466707271398,0.137959004666851,-0.562648606987833,-1.0201349037158,-1.3256842945086,-0.538192218694108,-1.91965330518284,-1.23049763865348,-0.628549298411444,-0.74969225532338,-0.639620655602723,-0.810116862033141,-0.482330831218751,-0.212648530435532,0.0412996220804907,0.118506033001103,-0.203157437444715,0.432711381740213,-0.235149584132695,0.310600223071053,0.218654741606371,-0.0861726076663848,0.567207220861278,0.68251552274398,-0.356642793483143,-0.528060338939341,0.50182993715734,0.10455912905864,0.222886065594914
"ENSMUSG00000033963.12",-1.88401980764655,-1.67953449324731,-1.2233735561887,-0.384351077253432,-1.84755313964147,0.187187011975164,-0.285619470080083,-0.925236107557185,-0.610371951088404,-1.64465045862069,-0.945874869283982,-0.714647707150814,-2.01999350321908,-1.10593108389048,-1.46215776741806,-2.07945493817784,-0.974444071688081,-0.627055445284549,-0.944475974523415,-1.80117766689704,-1.39759800802938,-1.69861291914258,-1.62120419745141,-1.40040950252484,-1.73298129493602,-1.72832317124293,-1.25606761688386,-0.97628522900087,-1.29649615086928
"ENSMUSG00000037996.13",1.96776319685278,2.00787963831061,1.91133843500842,2.2009316934327,2.14404746813019,2.32504122013449,2.19640353794012,2.32124948343426,2.30437009782049,1.82026754543868,1.82355822774514,2.08223578404731,-1.15012824977471,-1.14248292076081,1.46617105690328,1.75670263284564,0.0887505237730405,0.0819822363080072,1.65862426291401,1.27383129081293,1.62757324733107,1.68518785607082,-0.462869574266812,-0.288948141880943,-0.868701576929033,-0.715439053641222,0.368450436077555,0.261914340732323,0.82234316389971
"ENSMUSG00000042489.11",-0.172004680860003,-0.039881383023949,-0.630338001367494,1.35133701835358,1.27235607766165,1.29105738661176,-0.66373166098077,-0.57642629871539,-0.849733917993025,-1.199526137245,-0.910335700935998,-1.13729029239315,0.192662714711366,0.389701954938337,-0.743313404873711,-0.850371031057744,0.315592312011026,0.38097571417942,-0.249826476474639,-0.48160632133415,-1.0817780758148,-1.08662436348509,0.0872585402911387,-0.239019888615485,0.516832870037846,0.490701977438755,-0.407816534909342,-1.1535663045618,-0.141705949810115
"ENSMUSG00000042604.5",1.18037342221377,1.78124038075622,1.1957682079365,1.987239027148,1.93734845141031,1.9020547252732,0.725483123920034,1.07764186239829,0.900502018279953,0.57771135100986,0.391299375510374,0.572758596451134,-0.572401748007372,-0.653562578753699,1.07734874144943,1.05805686214823,-0.00607849282069995,-0.0770955577228101,0.0114596887797101,-0.0382750633612265,0.338622744668795,0.248361506181879,-0.970120434204906,-1.1209744601373,-1.24749677403897,-1.24574734024081,-0.801607228529981,-0.0294286323690338,-0.305101289116152
"ENSMUSG00000048077.5",-1.97291149379751,-2.0157890040165,-1.98711526030952,-1.9879620889354,-1.97053040478131,-1.97595599565548,-2.00005007054443,-2.04137414784535,-2.02941311042924,-1.9931356037013,-2.00337623166298,-0.867492258770588,-1.9518465774642,-1.96272001249161,-2.01521938853897,-1.96933294210104,-1.97020139088565,-1.94808655462284,-1.96377884782109,-1.96433832707616,-2.03917483190023,-1.98316978829491,-1.98885761761291,-2.02576686100219,-1.9927236073316,-1.98963430729431,-2.02758913728157,-2.03917045147319,-2.04285056033731
"ENSMUSG00000051682.11",-0.436145276917078,-1.90927306378346,-0.757460547398338,-0.864470009049079,-2.05072001249282,-2.07218042254547,-2.15986537993351,-2.31364029043034,-1.16306178060056,-2.17325127284759,-1.00063663995525,-0.599576217806625,-2.12184177630576,-2.1635364914825,-2.29422017139985,-2.20105306804529,-0.434145997588841,-0.871860000133579,-0.918488190422387,-1.92477727567467,0.293608211612328,-0.883295325949821,0.97259842696913,1.0998781955273,-0.386202250297145,-1.06997150370058,-2.2666935185322,-2.27697266701921,-2.31312426851405
"ENSMUSG00000056223.7",-1.96968382678296,-2.01843284747832,-1.98389744660049,-1.62017500750354,-1.2960425830579,-1.97661923729561,-1.99831387933496,-2.04225784005274,-2.03111398912812,-1.99217530161442,-2.00323061045081,-1.98695043902845,-1.96609506101585,-1.97531058924797,-2.02523943217286,-1.97504240315866,-1.98139037908828,-1.95587872132357,-1.97551781210532,-1.97851357264315,-2.06747972755725,-1.99892161075939,-2.00684908253466,-2.04840504598459,-2.00797035872222,-2.00386426364351,-2.03851979861418,-2.04890752400991,-2.05401555849582
"ENSMUSG00000057179.4",-1.96016606019896,-1.98443501846792,-1.97712114422391,-1.97505960113567,-1.95181458458524,-1.95958711669207,-1.99155333600806,-2.04274293814426,-2.03159888640592,-1.99194417689591,-2.00371466052252,-1.98893916332519,-0.97796387462531,-1.96191471337736,-2.00962287837038,-1.96416236127225,-1.96629963846291,-1.94793747908771,-1.96787493081039,-1.97086634973424,-2.05661649013969,-1.99076143631436,-2.00668822144822,-2.04304379448995,-2.0060659159822,-2.00223751268065,-2.02731283175393,-2.04145381739457,-2.04269084225307
"ENSMUSG00000059069.3",-1.9508484681621,-1.95642172464685,-1.97037217177588,-1.96777392661001,-1.93836957805385,-1.94689031131915,-1.98796466290518,-2.0485547421259,-2.03630542814269,-1.98854985177697,-2.00377003071205,-1.98869286279142,-1.22003985266566,-1.96337054858864,-2.01609350008288,-1.96761737187444,-1.96810031071089,-1.9424706962187,-1.96253831444602,-1.95790438907428,-2.01779997313142,-1.97032302003906,-1.98269910225013,-2.00453055314056,-1.98609125917905,-1.98258814550991,-1.10575727280177,-2.04237344877986,-2.04519647714333
"ENSMUSG00000059562.10",-1.98922567713534,-1.96341172121826,-2.01104324524317,-1.99737104288387,-1.97046019904524,-1.97256408304391,-2.02098592365419,-2.09721900765449,-2.08624797880166,-1.44722916460265,-1.71007852955125,-2.02434389541764,-1.96483715289714,-1.98074582060003,-2.05890529476533,-1.99725327906985,-1.98852217389262,-1.95423799888358,-1.97154417893112,-1.9646350208296,-2.00838971149686,-1.97164275492146,-1.98601232905556,-2.01820829953293,-0.586706965730566,-0.47662423958849,-2.06966908031474,-2.08148152802913,-1.571544321176
