id,thyroid,testis,ovary,leukocyte,skeletal muscle,prostate,lymph node,lung,adipose,adrenal,brain,breast,colon,kidney,heart,liver
ENSG00000011405.11,34.1164515317,19.2983725371,19.3420295846,9.8269727487,4.2201416121,15.8528887579,11.6179628489,19.5833520607,18.8172503073,21.7584398711,29.2240847377,16.0471837231,17.66635162,28.2904385499,19.6300358345,11.9744860002
ENSG00000049449.6,56.392412239,81.9685069021,118.7095527717,9.944758297,17.8057851046,89.7541725736,64.0854873653,68.6517875054,60.4017108156,63.3404195264,52.9544797976,44.10946863,81.2102737937,50.8427156269,51.490058258,51.8441465718
ENSG00000064547.11,11.3470771848,33.924223205,12.3136983926,20.8171589217,0,7.3018284512,28.0534596294,9.098047867,2.8511144826,11.4256793981,1.8264908683,5.6401062386,4.1593530433,6.7240567281,0.6341595434,1.8269486269
ENSG00000078043.13,31.0995126921,65.0744658453,13.9958338197,6.368287357,18.2062412382,8.4895832241,4.273223482,5.1360407044,19.4449172219,13.7760016225,19.2385796495,18.0434370713,7.052628041,10.03386016,16.7497965569,8.4821285406
ENSG00000092853.11,0.0528486297,6.6305817925,0.0395108188,1.3235219365,0,0.1847893717,0.7490437615,0,0.2655370986,0.0219228884,0.6179121408,0.2663093267,0.1387530448,0.0672674369,0.1365518962,0
ENSG00000130702.11,66.2940833006,26.454218438,33.2206453072,1.7377757511,17.782542933,65.9388100899,33.4411113453,62.2103588904,59.0014149491,89.7751288032,6.6115606077,43.5787084977,66.6742194737,72.2757707065,19.7397332386,21.6889902537
ENSG00000143554.11,16.6915675964,66.2591854858,55.4360741915,57.6210403413,11.0636429992,65.6424264294,38.3875720515,34.3890485003,58.9491062337,49.0713185272,10.563272464,54.9821500827,62.7396553437,82.2745011566,18.8107889863,188.0823070939
ENSG00000155886.9,0.0113465949,0.2103298754,0.0011534192,0,0.161758516,0,0,0,0.0047121764,0.0159815186,83.7812104078,0.0650724287,0.352574403,0.1644626698,0.0113956619,0
ENSG00000163705.10,0,40.3285751502,0,0,0,0,0,0,0,0.0230493227,0.0265331103,0,0,0,0.4691159116,0
ENSG00000174562.11,3.0219110586,3.0151642437,0.0120067643,0,0,0.3883524138,0,0,0,0,0,0,2.6003489385,0.0589405778,0,0
ENSG00000176198.2,0,0,0,0,0,0,0,0,0,0.1304051169,0.2708103717,0,0,0,0,0
ENSG00000179091.4,166.6034696334,112.1590388154,121.4032937001,55.2808915002,278.0821739954,146.1897275025,70.0983400211,88.0243110717,80.1727378429,86.0247532558,147.2320201337,109.3950328145,118.4876858918,285.4765335092,505.4195457093,138.3490629545
ENSG00000182255.6,0.0773978993,0.5725576847,0.1683924489,0,0,0.1839113759,0.4383092808,0.1564798628,1.2775446766,0.5198027676,3.108846036,0.2201981386,0.2622258528,0.4703911522,3.1127498328,0
ENSG00000187166.1,0.0559090491,181.7958157223,0.9715520072,0.1256967025,0.112029407,0.1508276325,0,0,0.0419695428,0.7431564119,0.4747241029,0.3961727329,0.1447368967,0,0,0
ENSG00000188056.9,0,0,0,1.0105199601,0,0,0,0.2056059223,0,0,0,0,0,0.0743783077,0,0
ENSG00000197599.10,0.0634512032,3.2376458618,1.2021828376,0.4846163901,0.1487666106,0.7252139485,0.9310230869,0.1123404987,0.2492464264,0.5550308087,0,0.7930806204,0.3347253401,1.6160055752,0.1502610737,0.6429538491
ENSG00000270629.3,10.7512589009,36.696503112,13.4898100539,14.9790505044,4.3226124523,23.4816867618,10.1127526751,21.838145442,12.6463285833,20.775539171,11.0964532141,12.8406171634,13.4805775876,8.1147925159,7.4016316293,21.7743023273
ENSG00000271383.4,0.0713815342,0.0772158999,0.0974005032,12.1802448401,0.2243849253,0.4067313469,1.3318650861,0.6204470334,0.1605554043,0.1375443449,0.1684293934,0.3053423968,0.1806480841,1.1652157359,2.7607924553,3.8080879135
ENSG00000275969.2,0,5.6429221272,5.49580420096266E-006,0,0,0,0,0,0,0,0.1596490428,0,0,0,0,0
